names,prices,location,brand,model,year,status,odo,origin,style,transmission,engine,exterior_color,interior_color,seats,doors,drive,description
Mazda 3 1.5L Sport Premium - 2022,579 Triệu,TP HCM,"Mazda
Loading...",3,2022,Xe đã dùng,"36,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.5 L,Đỏ,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Mazda 3 Sport 1.5 Premium Fulloption

- sx 2022. (36 ngìnklm - đẹp lenken )

- Ko lõi nhỏ , bảo dưỡng full hãng .( bao tes toàn quốc

 tr -Quý Khách xem có bớt ạ

 AE-Quý Khách quan tâm lh e :

 Mua bán-trao đổi -giao lưu: vbình . Xin cảm ơn."
Mercedes Benz C class C250 Exclusive - 2015,560 Triệu,Hà Nội,"Mercedes Benz
Loading...",C class,2015,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,Kem,5 chỗ,4 cửa,RFD - Dẫn động cầu sau,"Mercedes C250 Exclusive sản xuất và đăng ký 2105, tư nhân HN hồ sơ cầm tay sẵn sang tên, odo 8 vạn zin, đen nội thất kem, đã update mâm AMG, bao check test toàn quốc, khuyến khích mua bán kiểm tra xe cùng bên thứ 3, hỗ trợ bank tối đa giá trị xe"
Lexus LX 570 - 2010,1 Tỷ 650 Triệu,Hà Nội,"Lexus
Loading...",LX,2010,Xe đã dùng,"193,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  5.7 L,Trắng,Kem,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Hàng HOT cập bến 

 Xe chính chủ mua từ mới đky biển Hà Nội 2011 chạy 120.000miles
 Xe không đâm đụng ngập nước, xe được chăm sóc kỹ lưỡng , pháp lý chuẩn"
Jaguar XF 2.0 AT - 2013,520 Triệu,Hà Nội,"Jaguar
Loading...",XF,2013,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Trắng,Kem,5 chỗ,4 cửa,RFD - Dẫn động cầu sau,"Thương Hiệu Đến Từ Anh Quốc Xuất Mỹ
JAGUAR 2.0XF Premium sx 2013

Full option : Máy 2.0L Turbo - 240Hp -251Nm -8AT - RWD. Có 2 Ghế điện nhớ vị trí sưởi ghế, Vô lăng chỉnh điện sưởi , lẫy số vô lăng, Màn hình tích USB, AUX, Bluetooth, DVD, Radio, 11 Loa vòm Meridian cực đỉnh, Cần số điện xoay thụt thò, có MSport, Cửa gió điều hòa tự động đóng mở điện, Ốp vân gỗ quanh xe, Nội thất da cao cấp nguyên bản,Cửa số trời, Phanh tay điện tử, Ga tự động, Giới hạn tốc độ, Đèn tự động HID BiXenon có liếc, Cảnh báo áp suất lốp, Camera lùi có canh khoảng cách đánh lái, Lazang đúc...Hiện trạng xe mới đẹp, xe đang trong tình trạng rất hoàn hảo ! Gầm Máy Số Thân Vỏ Nguyên Bản !"
VinFast VF8 Plus AWD - 2023,659 Triệu,Hà Nội,"VinFast
Loading...",VF8,2023,Xe đã dùng,"46,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện,Đen,Nâu,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"31 VF8 PLUS ,2 cầu đi 4v1 – GIÁ CỰC NGON NHẤT THỜI ĐIỂM NÀY! 

Giá trên đã kền pin, Full ưu đãi – quà tặng
 VinFast VF8 PLUS (GIÁ MỚI 1.269 TRIỆU) 
 Phiên bản cao cấp nhất, trang bị full option
 Động cơ mạnh 2 cầu– trải nghiệm lái khác biệt
 ️ Nội thất sang trọng – công nghệ an toàn hiện đại
 Tiện nghi cao cấp: giải trí, hỗ trợ lái, tính năng thông minh

 ĐÃ TRỪ TOÀN BỘ ƯU ĐÃI ĐỔI TỪ XE XĂNG SANG XE ĐIỆN
 ĐÃ ÁP DỤNG TOÀN BỘ KHUYẾN MÃI THÁNG NÀY
=>ĐÂY LÀ GIÁ CUỐI CỰC NGON – ĐẸP NHẤT THỊ TRƯỜNG HIỆN TẠI!

KHO CÒN NHIỀU XE KHÁC VỚI GIÁ KHÁC NHAU
CÓ CẢ XE MỚI 100%
 Mua đúng thời điểm – tiết kiệm so với giá niêm yết
 Hàng có sẵn – màu đủ – giao ngay

 Gọi ngay để chốt giá trước khi hết ưu đãi!
Đi VF8 bây giờ: sang – mạnh – tiết kiệm – GIÁ ngon nhất
(Note : Bản eco lazang 19 ',nội thất đen,không có cửa sổ trời- giá rẻ hơn)"
Toyota Vios E CVT - 2026,425 Triệu,Hà Nội,"Toyota
Loading...",Vios,2026,Xe mới,,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,Đen,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,"Toyota Vios E CVT 2026 - KHUYẾN MÃI LỚN!
- Xe có sẵn giao ngay - Đủ màu
- Có hỗ trợ trả góp lãi suất ưu đãi, thủ tục nhanh gọn
- Hỗ trợ giao xe tận nhà, thủ tục đăng ký đăng kiểm
- Liên hệ để được mua xe ưu đãi nhất!

Toyota Vios E CVT 2025
- Thiết kế góc cạnh, phía trên đầu xe và hai cạnh bên lồng vào nhau tạo hiệu ứng 3D mạnh mẽ góp phần làm nên tổng thể hài hòa.
- Công nghệ LED dạng bóng chiếu với thiết kế bắt mắt cho khả năng chiếu sáng tuyệt vời và giảm tiêu thụ năng lượng."
Mercedes Benz GLC 250 4Matic - 2018,999 Triệu,Hà Nội,"Mercedes Benz
Loading...",GLC,2018,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Mercedes GLC250 2018 model 2019 siêu đẹp , tư nhân chính chủ , odo 8v km cực mới , options miên man: 
 hộp số 9 cấp , kính 3 lớp , vành đa chấu, apple carplay,..."
Mazda 3 1.5L Luxury - 2024,619 Triệu,Hà Nội,"Mazda
Loading...",3,2024,Xe đã dùng,"11,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xanh,Đen,5 chỗ,4 cửa,FWD - Dẫn động cầu trước,"Tứ Quý Auto hiện đang bán xe Mazda 3 Sedan 1.5 Luxury 2024, xanh đen. Xe đăng kí tên tư nhân chính chủ - Cực Đẹp - ODO zin 11.000 Km.
Xe trang bị gồm: Start/Stop, màn hình, camera lùi, cảm biến, vô lăng tích hợp, điều hòa tự động, túi khí, gương gập điện, ghế điện, phanh tay điện tử, Bluetooth, USB/Ipod, CD/Radio, ABS, EBD,...cùng nhiều tiện ích khác.
Cam kết với khách hàng bằng văn bản khi mua xe tại Tứ Quý:
- Cam kết xe nguyên bản không đâm đụng, ngập nước
- Nhiều chế độ bảo hành và hậu mãi
- Hỗ trợ mọi thủ tục vay vốn, sang tên, lãi suất ưu đãi
Uy tín là sự sống còn của chúng tôi !"
VinFast VF8 Eco AWD - 2023,565 Triệu,Hà Nội,"VinFast
Loading...",VF8,2023,Xe đã dùng,"35,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện,Trắng,Đen,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"VF8 GF Eco Đen Pin SDI - Siêu Lướt xe GF
✓ Sản xuất: 2023
✓ Odo: Hơn 3vạn km
✓ Pin SDI – Mua pin
✓ Hỗ trợ thêm 70 triệu nếu đổi xe xăng qua
✓ Giảm chính sách tháng 50 triệu
– Xe chính hãng, chất như mới - Xuất hoá đơn thẳng tên
Giao ngay - Sẵn xe"
Hyundai SantaFe Cao cấp 2.5L HTRAC - 2021,980 Triệu,Hà Nội,"Hyundai
Loading...",SantaFe,2021,Xe đã dùng,"45,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.5 L,Xanh,Nâu,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"Hyundai Santafe 2.5 máy xăng bản Premium sản xuất 2021 phom mới số điện cá nhân 1 chủ mua mới Odo 4,5 vạn Km. Xe bảo dưỡng thay dầu đầy đủ tại hãng.
- Hyundai Santafe 2.5 máy xăng Premium mang nhiều điểm nổi bật :
• Thiết kế: Santa Fe 2021 phom mới có thiết kế mới, hiện đại và rộng rãi hàng ghế thứ 3 khá tiện cho gia đình.
• Không gian: Với 3 hàng ghế, phù hợp cho 7 người (hoặc 5 người + hành lý khi gập hàng thứ 3).
• Trang bị an toàn & tiện nghi: Bản Premium có nhiều tiện nghi hơn, như ghế da, chỉnh điện, công nghệ an toàn bổ sung.
• Tính đa dụng: Là SUV 7 chỗ, phù hợp cả di chuyển trong thành phố và đi đường dài.
- Chất xe bao đẹp, máy số, khung gầm, keo chỉ zin
- Bao check test, cam kết chất lượng bằng văn bản
- Hỗ trợ bank tới 70% giá trị xe
* Tuấn Hưng Auto cam kết chất lượng xe chuẩn, không đâm đụng tai nạn, không ngập nước, máy móc động cơ khung gầm nguyên bản, pháp lý rõ ràng: không tranh chấp, không có phạt nguội…
* Tuấn Hưng Auto nhận trao đổi, mua bán các dòng xe đã qua sử dụng"
